"Date","Start","End","Hours","Night Eating"
"17/1/2023","14:44","04:39","13"
"16/1/2023","14:25","23:40","9"
"15/1/2023","13:49","05:14","15"
"14/1/2023","20:44","07:56","11"
"13/1/2023","17:21","05:04","11"
"12/1/2023","22:52","09:28","10"
"12/1/2023","12:30","21:40","9"
"11/1/2023","13:06","02:47","13"
"10/1/2023","13:52","00:02","10"
"9/1/2023","13:50","04:35","14"
"8/1/2023","14:50","05:12","14"
"7/1/2023","16:32","23:35","7"
"6/1/2023","12:13","00:09","11"
"5/1/2023","14:12","23:42","9"
"4/1/2023","14:26","04:40","14"
"3/1/2023","14:07","00:03","9"
"2/1/2023","13:01","23:58","10"
"1/1/2023","14:35","05:04","14"
"31/12/2022","15:07","23:56","8"
"30/12/2022","13:06","04:46","15"
"29/12/2022","12:47","00:06","11"
"28/12/2022","12:39","05:18","16"
"27/12/2022","13:51","23:39","9"
"26/12/2022","13:04","03:12","14"
"25/12/2022","18:30","04:54","10"
"24/12/2022","13:22","22:40","9"
"23/12/2022","14:27","00:08","9"
"22/12/2022","14:29","00:31","10"
"21/12/2022","15:00","05:21","14"
"20/12/2022","11:58","00:28","12"
"19/12/2022","14:15","23:57","9"
"18/12/2022","16:20","05:48","13"
"17/12/2022","14:58","00:16","9"
"16/12/2022","13:09","00:07","10"
"15/12/2022","14:20","00:16","9"
"14/12/2022","13:54","05:29","15"
"13/12/2022","13:52","00:06","10"
"12/12/2022","13:45","00:21","10"
"11/12/2022","14:55","04:49","13"
"10/12/2022","16:08","00:08","8"
"9/12/2022","13:16","00:33","11"
"8/12/2022","14:17","00:57","10"
"7/12/2022","13:16","05:04","15"
"6/12/2022","13:56","00:30","10"
"5/12/2022","14:05","01:58","11"
"4/12/2022","17:05","05:22","12"
"3/12/2022","15:23","00:27","9"
"2/12/2022","15:15","04:14","12"
"1/12/2022","13:15","00:27","11"
"30/11/2022","13:52","04:58","15"
"29/11/2022","14:05","00:37","10"
"28/11/2022","14:15","00:33","10"
"27/11/2022","16:01","05:12","13"
"26/11/2022","15:18","00:38","9"
"25/11/2022","13:42","00:31","10"
"24/11/2022","15:51","00:22","8"
"23/11/2022","12:55","05:07","16"
"22/11/2022","13:00","00:26","11"
"21/11/2022","14:30","00:46","10"
"20/11/2022","14:00","05:25","15"
"19/11/2022","17:03","00:39","7"
"18/11/2022","13:42","01:03","11"
"17/11/2022","13:28","02:19","12"
"16/11/2022","13:45","04:09","14"
"15/11/2022","16:35","01:31","8"
"14/11/2022","14:58","01:17","10"
"13/11/2022","17:15","05:06","11"
"12/11/2022","17:00","04:07","11"
"11/11/2022","16:19","04:53","12"
"10/11/2022","14:38","04:55","14"
"9/11/2022","14:15","01:53","11"
"8/11/2022","13:33","02:39","13"
"7/11/2022","14:56","04:56","14"
"6/11/2022","15:20","02:01","10"
"5/11/2022","17:07","02:31","9"
"4/11/2022","14:06","04:43","14"
"3/11/2022","14:11","01:47","11"
"2/11/2022","15:37","02:04","10"
"1/11/2022","14:17","04:49","14"
"31/10/2022","15:07","02:09","11"
"30/10/2022","15:11","04:52","13"
"29/10/2022","17:31","05:14","11"
"28/10/2022","16:15","01:42","9"
"27/10/2022","15:10","01:26","10"
"26/10/2022","16:00","04:58","12"
"25/10/2022","13:46","01:38","11"
